Radar NIS, Time 
1.96338,8233333
20.8795,8233333
8.73684,8233333
3.40295,8266666
8.02447,8266666
3.74016,8266666
13.1432,8300000
3.39878,8300000
5.16665,8300000
4.46828,8333333
7.00346,8333333
1.35063,8333333
4.77596,8366666
3.5613,8366666
0.503506,8366666
6.28394,8400000
1.97339,8400000
0.199695,8400000
13.4049,8433333
3.26723,8433333
7.70599,8433333
7.25104,8466666
5.326,8466666
2.71609,8466666
3.68579,8500000
1.78873,8500000
0.203074,8500000
9.93453,8533333
1.81685,8533333
1.12879,8533333
13.5563,8566666
3.71304,8566666
7.60942,8566666
11.5679,8600000
2.13787,8600000
1.59071,8600000
7.23006,8633333
1.28766,8633333
2.16718,8633333
4.84739,8666666
2.8192,8666666
4.57292,8666666
4.52718,8700000
0.413987,8700000
0.494643,8700000
4.42798,8733333
5.21159,8733333
5.82608,8733333
1.97093,8766666
1.20893,8766666
0.932767,8766666
2.51423,8800000
1.68683,8800000
2.68252,8800000
8.31346,8833333
2.57485,8833333
1.03864,8833333
1.34389,8866666
2.3083,8866666
2.72434,8866666
13.8288,8900000
2.6449,8900000
2.48071,8900000
8.14073,8933333
1.7437,8933333
1.12969,8933333
19.149,8966666
4.6268,8966666
4.15771,8966666
15.5792,9000000
3.32816,9000000
3.90427,9000000
8.17355,9033333
5.89838,9033333
7.39718,9033333
2.36496,9066666
0.685864,9066666
0.687158,9066666
14.2675,9100000
2.59692,9100000
2.91871,9100000
7.94534,9133333
1.79238,9133333
1.13146,9133333
12.5556,9166666
2.30525,9166666
1.42092,9166666
2.60033,9200000
0.865964,9200000
1.36961,9200000
17.624,9233333
4.22926,9233333
4.59707,9233333
8.59019,9266666
1.41756,9266666
1.2596,9266666
8.45701,9300000
3.63277,9300000
4.25791,9300000
4.30923,9333333
4.149,9333333
3.58382,9333333
5.15378,9366666
0.0591659,9366666
0.196182,9366666
5.75326,9400000
1.12124,9400000
1.00532,9400000
8.67057,9433333
2.15603,9433333
1.71835,9433333
11.4524,9466666
2.95763,9466666
3.21693,9466666
3.88598,9500000
0.608719,9500000
0.545939,9500000
2.06317,9533333
2.98184,9533333
3.1975,9533333
4.76478,9566666
1.21815,9566666
1.11522,9566666
8.85704,9600000
3.98721,9600000
3.79447,9600000
6.48606,9633333
0.444713,9633333
0.39736,9633333
2.78112,9666666
4.05525,9666666
4.12681,9666666
5.36139,9700000
2.36307,9700000
2.33812,9700000
9.49464,9733333
1.5181,9733333
1.43307,9733333
15.1283,9766666
2.89836,9766666
2.77271,9766666
4.59345,9800000
0.17437,9800000
0.178552,9800000
2.79268,9833333
1.34678,9833333
1.42518,9833333
6.80894,9866666
0.433959,9866666
0.337527,9866666
8.0896,9900000
1.26573,9900000
1.13766,9900000
10.1817,9933333
8.72569,9933333
8.70429,9933333
18.4595,9966666
4.40927,9966666
3.92925,9966666
