Lidar NIS, Time 
1.85066,3266666
1.10279,3266666
0.138229,3300000
0.781753,3300000
3.57471,3300000
0.666317,3333333
2.61703,3333333
4.10719,3333333
2.44181,3366666
1.74207,3366666
14.3964,3366666
4.8741,3400000
6.4128,3400000
0.589901,3400000
0.0628233,3433333
0.491491,3433333
4.51063,3433333
2.85828,3466666
2.80688,3466666
15.5731,3466666
2.1519,3500000
2.21015,3500000
4.24902,3500000
0.200577,3533333
0.0343652,3533333
7.59668,3533333
0.591054,3566666
0.296872,3566666
6.71031,3566666
1.14653,3600000
0.937868,3600000
10.8101,3600000
1.44322,3633333
0.69804,3633333
6.61945,3633333
1.08619,3666666
0.762487,3666666
8.73022,3666666
1.15788,3700000
1.84872,3700000
11.221,3700000
4.19927,3733333
1.59241,3733333
3.08435,3733333
2.8697,3766666
0.710273,3766666
0.861871,3766666
8.00352,3800000
2.9496,3800000
4.37874,3800000
4.86988,3833333
3.17326,3833333
0.509435,3833333
5.41006,3866666
4.30373,3866666
10.9344,3866666
5.63337,3900000
2.77517,3900000
7.65561,3900000
13.202,3933333
4.16487,3933333
2.93569,3933333
4.07285,3966666
1.0371,3966666
0.181342,3966666
7.64387,4000000
3.51121,4000000
7.21487,4000000
4.33745,4033333
2.64615,4033333
6.0591,4033333
2.91311,4066666
0.430402,4066666
0.29252,4066666
6.12095,4100000
0.648929,4100000
1.85073,4100000
5.67848,4133333
2.62623,4133333
4.946,4133333
5.03637,4166666
0.227759,4166666
0.1518,4166666
6.57051,4200000
1.00326,4200000
1.91391,4200000
0.103127,4233333
3.13478,4233333
4.5575,4233333
11.7894,4266666
2.703,4266666
1.5796,4266666
1.02348,4300000
1.75256,4300000
2.90392,4300000
7.49141,4333333
2.33575,4333333
2.82144,4333333
1.92144,4366666
1.17452,4366666
0.85038,4366666
2.62488,4400000
2.64984,4400000
1.83525,4400000
3.26921,4433333
0.639442,4433333
0.0323094,4433333
3.34107,4466666
10.2034,4466666
5.65911,4466666
5.37682,4500000
0.260191,4500000
0.566521,4500000
3.63712,4533333
6.73166,4533333
3.69108,4533333
7.02871,4566666
0.183718,4566666
1.38639,4566666
0.595966,4600000
6.15876,4600000
2.956,4600000
0.0567136,4633333
5.54879,4633333
1.96669,4633333
0.17522,4666666
3.88397,4666666
0.716913,4666666
0.958987,4700000
9.96041,4700000
3.68613,4700000
3.31299,4733333
0.366005,4733333
0.787195,4733333
5.05468,4766666
8.02909,4766666
5.42612,4766666
2.13769,4800000
7.93437,4800000
3.16364,4800000
3.22321,4833333
3.95597,4833333
1.42651,4833333
2.87353,4866666
11.5192,4866666
3.57032,4866666
1.38558,4900000
14.3351,4900000
4.63914,4900000
2.78951,4933333
9.28447,4933333
1.86452,4933333
1.40214,4966666
8.94358,4966666
1.93452,4966666
3.22358,5000000
12.7872,5000000
3.65062,5000000
0.317215,5033333
8.76562,5033333
1.87103,5033333
5.93299,5066666
0.394397,5066666
1.62836,5066666
2.83817,5100000
1.89514,5100000
0.809558,5100000
15.1257,5133333
24.5175,5133333
10.6169,5133333
3.26389,5166666
9.64547,5166666
0.931062,5166666
4.47038,5200000
1.82443,5200000
0.715091,5200000
2.13756,5233333
3.32162,5233333
0.392236,5233333
6.12402,5266666
11.2227,5266666
1.30661,5266666
5.27626,5300000
8.35863,5300000
0.708834,5300000
9.8017,5333333
1.85288,5333333
1.96046,5333333
2.0702,5366666
5.23183,5366666
0.335369,5366666
7.24514,5400000
7.65767,5400000
1.01203,5400000
5.04641,5433333
3.93553,5433333
0.0606497,5433333
7.41973,5466666
4.3229,5466666
0.591968,5466666
0.917172,5500000
7.0771,5500000
1.28347,5500000
6.37033,5533333
0.642268,5533333
1.28085,5533333
3.05495,5566666
3.46719,5566666
0.0340551,5566666
6.43576,5600000
2.96203,5600000
0.562615,5600000
5.01423,5633333
4.59862,5633333
0.220113,5633333
15.727,5666666
8.9186,5666666
4.8878,5666666
1.15142,5700000
8.22877,5700000
4.82154,5700000
8.26592,5733333
11.9914,5733333
2.1679,5733333
0.600734,5766666
11.3283,5766666
2.20393,5766666
14.0645,5800000
12.0601,5800000
4.2098,5800000
5.55158,5833333
18.8078,5833333
3.77035,5833333
0.326916,5866666
10.1434,5866666
4.93264,5866666
1.04209,5900000
4.82042,5900000
3.15537,5900000
3.60843,5933333
19.2847,5933333
4.47919,5933333
1.59109,5966666
4.79156,5966666
0.130943,5966666
2.13056,6000000
3.30225,6000000
0.251788,6000000
0.944268,6033333
3.96235,6033333
0.70386,6033333
1.05781,6066666
6.12465,6066666
0.179495,6066666
6.94511,6100000
0.10429,6100000
4.18355,6100000
14.6184,6133333
10.2895,6133333
5.65986,6133333
5.00472,6166666
12.2103,6166666
0.974275,6166666
5.76603,6200000
3.77795,6200000
1.51042,6200000
2.79189,6233333
1.31778,6233333
5.28147,6233333
4.60262,6266666
1.54688,6266666
2.66249,6266666
2.66894,6300000
1.59319,6300000
2.12225,6300000
0.927144,6333333
3.13932,6333333
2.30538,6333333
3.58641,6366666
19.6828,6366666
1.97622,6366666
2.91117,6400000
2.43263,6400000
2.31593,6400000
2.37773,6433333
1.93736,6433333
3.75383,6433333
4.36242,6466666
2.92221,6466666
2.32368,6466666
2.06724,6500000
7.39658,6500000
6.21898,6500000
0.812568,6533333
4.71393,6533333
0.616044,6533333
0.282374,6566666
5.56544,6566666
1.30377,6566666
2.11059,6600000
2.3286,6600000
2.28459,6600000
0.351922,6633333
11.4284,6633333
2.15447,6633333
2.00824,6666666
6.78108,6666666
4.48289,6666666
1.27993,6700000
8.59743,6700000
3.16578,6700000
6.8745,6733333
21.8555,6733333
4.6331,6733333
3.12153,6766666
3.85178,6766666
4.59056,6766666
2.77153,6800000
16.0317,6800000
5.1888,6800000
4.17186,6833333
2.77322,6833333
4.51456,6833333
0.734359,6866666
10.5532,6866666
1.45031,6866666
1.20638,6900000
12.5235,6900000
1.83583,6900000
0.191563,6933333
10.4522,6933333
0.0460226,6933333
9.62776,6966666
13.9441,6966666
10.1116,6966666
0.544553,7000000
11.8571,7000000
0.474231,7000000
0.719333,7033333
16.7851,7033333
0.833765,7033333
10.1843,7066666
1.10136,7066666
9.52457,7066666
1.71579,7100000
4.77656,7100000
1.35735,7100000
3.80722,7133333
4.75479,7133333
3.01233,7133333
2.12171,7166666
9.98981,7166666
2.8583,7166666
0.592672,7200000
8.46954,7200000
0.78221,7200000
3.4415,7233333
9.926,7233333
2.56291,7233333
9.41434,7266666
2.48842,7266666
8.19972,7266666
5.84548,7300000
0.817226,7300000
6.01001,7300000
0.178761,7333333
10.2493,7333333
0.0202845,7333333
1.24612,7366666
11.4447,7366666
0.306124,7366666
4.00411,7400000
8.7585,7400000
6.07802,7400000
3.49166,7433333
2.96441,7433333
3.30185,7433333
0.977455,7466666
10.4729,7466666
0.337601,7466666
1.28017,7500000
18.1302,7500000
0.387477,7500000
4.21644,7533333
4.85431,7533333
3.27583,7533333
0.198446,7566666
11.3941,7566666
1.22155,7566666
0.574935,7600000
8.85695,7600000
1.41878,7600000
2.65558,7633333
6.12726,7633333
1.6366,7633333
5.3549,7666666
5.19269,7666666
8.08282,7666666
0.400972,7700000
12.0726,7700000
1.50269,7700000
1.91247,7733333
10.6502,7733333
3.27138,7733333
5.99309,7766666
7.71123,7766666
3.86417,7766666
0.376778,7800000
17.716,7800000
1.28537,7800000
1.02216,7833333
15.8283,7833333
2.50466,7833333
8.74743,7866666
2.9745,7866666
6.29297,7866666
1.93049,7900000
5.02148,7900000
2.08451,7900000
1.59081,7933333
15.4214,7933333
0.508558,7933333
6.66485,7966666
1.30844,7966666
4.79429,7966666
1.42847,8000000
12.5026,8000000
4.00623,8000000
2.17325,8033333
12.3297,8033333
0.591145,8033333
2.40621,8066666
5.89099,8066666
0.434313,8066666
0.785714,8100000
6.1248,8100000
2.03678,8100000
3.59458,8133333
7.11715,8133333
5.38498,8133333
4.02718,8166666
12.2463,8166666
5.84128,8166666
0.937686,8200000
3.71988,8200000
0.415823,8200000
1.22686,8233333
8.77667,8233333
1.75126,8233333
6.1941,8266666
5.25618,8266666
4.5696,8266666
4.3812,8300000
